name,WKT
Starbucks,POINT (-80.72255 28.29485)
Starbucks,POINT (-87.64506 41.93268)
Starbucks,POINT (-88.42291 41.38405)
Starbucks,POINT (-87.79331 41.88845)
Starbucks,POINT (-82.50026 27.53123)
Starbucks,POINT (-118.14993 34.08631)
Starbucks,POINT (-116.35282 43.66249)
Starbucks,POINT (-122.6457 49.10206)
Starbucks,POINT (-110.99051 32.16157)
Starbucks,POINT (-117.68863 33.60637)
Starbucks,POINT (-83.48445 42.22436)
Starbucks,POINT (-110.85087 32.24791)
Starbucks,POINT (-82.54868 28.02783)
Starbucks,POINT (-117.2339 33.08111)
Starbucks,POINT (-93.28804 44.90524)
Starbucks,POINT (-78.68109 35.90074)
Starbucks,POINT (-98.79387 38.36002)
Starbucks,POINT (-111.90523 33.4296)
Starbucks,POINT (-121.22858 38.74197)
Starbucks,POINT (-96.64613 32.96581)
Starbucks,POINT (-121.37015 38.45348)
Starbucks,POINT (-121.46476 38.57167)
Starbucks,POINT (-83.58177 32.59703)
Starbucks,POINT (-82.4674 35.32734)
Starbucks,POINT (-91.59162 41.68208)
Starbucks,POINT (-89.31271 43.12561)
Starbucks,POINT (-97.36264 37.72171)
Starbucks,POINT (-76.95368 38.96616)
